"21 Feb",29.9,16.7,22.22,15.39,0.25,7.2,3.6,947.00,1021.34,1017.61,0,8
"22 Feb",29.6,14.9,20.90,13.60,0.00,5.8,2.2,904.00,1022.70,1019.30,0,7
"23 Feb",23.7,18.1,17.60,14.60,0.00,6.7,2.7,0.00,1023.20,1021.00,0,0
"23 Feb",23.7,16.1,20.20,14.00,0.00,4.9,2.7,584.00,1022.90,1017.60,0,4
"24 Feb",21.2,19.6,18.80,18.10,0.00,4.0,1.8,0.00,1018.60,1017.80,0,0
"24 Feb",24.7,16.5,20.80,1.20,3.50,9.8,4.5,911.00,1018.10,1014.00,0,8
"25 Feb",20.3,14.7,4.20,-4.70,3.50,6.7,2.7,0.00,1022.70,1018.10,0,0
"25 Feb",21.7,5.8,4.30,-10.80,0.00,6.3,3.1,879.00,1030.00,1022.90,0,7
"26 Feb",23.2,7.5,11.60,2.00,0.00,8.5,4.5,1134.00,1029.80,1024.60,0,8
"27 Feb",23.7,12.2,17.90,9.90,0.00,3.1,1.3,865.00,1024.60,1019.30,0,6
"27 Feb",23.7,12.2,17.90,9.90,0.00,3.1,1.8,865.00,1024.60,1017.30,0,6
"28 Feb",22.1,11.7,17.90,10.40,0.30,4.5,2.2,846.00,1019.50,1016.00,0,4
"01 Mar",20.1,16.0,17.80,14.50,2.50,7.2,3.6,297.00,1019.70,1017.10,0,2
"02 Mar",24.9,15.5,20.40,14.20,2.00,4.5,1.8,956.00,1020.60,1016.80,0,7
"03 Mar",26.8,17.7,21.60,16.20,23.40,9.8,4.5,1007.00,1017.40,1006.60,0,7
"04 Mar",18.9,9.7,17.40,2.90,1.10,8.9,3.6,1055.00,1016.80,1008.40,0,7
"05 Mar",14.0,4.1,3.80,-8.90,0.00,7.6,3.6,861.00,1025.00,1018.90,0,6
"06 Mar",13.2,-0.8,-1.20,-13.50,0.20,6.3,3.1,881.00,1030.90,1025.10,0,6
"07 Mar",18.6,0.4,2.50,-10.20,0.00,4.5,1.8,889.00,1030.80,1025.00,0,7
"08 Mar",24.9,6.0,11.30,1.10,0.00,7.6,4.5,935.00,1026.10,1018.70,0,7
"09 Mar",26.7,10.4,16.30,8.60,0.00,5.8,2.7,983.00,1021.50,1017.30,0,7
"10 Mar",29.5,16.2,20.40,12.90,0.00,6.7,3.6,1114.00,1021.70,1018.80,0,7
"11 Mar",26.7,16.1,20.90,14.10,8.10,9.4,4.0,1125.00,1023.60,1019.50,0,6
"12 Mar",24.1,12.6,14.50,3.50,0.30,5.4,3.1,877.00,1025.40,1022.40,0,7
"13 Mar",24.1,9.7,12.80,4.90,0.00,8.0,4.0,1062.00,1025.20,1021.80,0,8
"14 Mar",28.1,13.5,19.20,10.90,0.00,8.0,4.0,1132.00,1023.40,1018.20,0,8
"15 Mar",29.9,17.7,18.30,12.10,0.00,8.5,4.0,1072.00,1020.80,1016.00,0,8
"16 Mar",18.2,12.1,12.60,2.30,0.00,6.3,2.7,666.00,1024.00,1019.60,0,6
"17 Mar",18.0,10.0,6.30,-1.30,0.00,5.4,2.7,654.00,1024.80,1020.70,0,5
"18 Mar",21.2,4.2,7.80,-7.10,0.00,5.4,2.7,998.00,1024.40,1020.60,0,7
"19 Mar",17.4,9.1,1.50,-4.90,0.00,8.0,4.0,1104.00,1027.40,1022.80,0,6
"20 Mar",19.7,3.3,5.00,-2.00,0.00,6.3,3.1,925.00,1025.30,1018.40,0,7
"21 Mar",22.1,3.2,7.10,-0.40,0.00,10.3,4.5,1035.00,1018.80,1010.90,0,7
"22 Mar",22.4,8.2,3.60,-3.70,0.00,7.6,3.6,944.00,1018.90,1014.70,0,7
"23 Mar",25.1,4.6,8.30,-8.90,0.00,5.4,2.7,946.00,1025.70,1018.80,0,7
